Snap #	Nsnaps (direction corrected)	Time	Snap direction	Snap bond c.x	Snap bond c.y
1	1	2.934	-1	1084.545	1849.05
2	2	4.005	-1	532.18	1838.32
3	3	4.647	-1	666.5935	1821.44
4	4	5.325	-1	229.0505	1849.855
5	5	5.562	-1	9.04702	1850.065
6	6	5.847	-1	1821.715	1812.205
7	7	6.804	-1	1434.82	1801.15
8	8	7.068	-1	209.9575	1795.64
9	9	7.167	-1	308.6665	1841.145
10	10	7.902	-1	1795.21	1571.21
11	11	7.998	-1	1242.38	1814.365
12	12	8.376	-1	1632.795	1825.5
13	13	8.565	-1	1817.64	1418.355
14	14	8.778	-1	1821.71	1597.205
15	15	9.654	-1	1844.065	1207.08
16	16	10.296	-1	1797.725	506.3785
17	17	14.325	-1	1778.605	1698.85
18	18	14.562	-1	1824.875	1696.535
19	19	16.026	-1	1650.725	138.556
20	20	16.056	-1	555.4475	1813.21
21	21	17.112	-1	969.5755	1788.07
22	22	17.76	-1	1227.76	1726.435
23	23	17.769	-1	458.692	1784.245
24	24	17.955	-1	1639.865	1733.895
25	25	18.633	-1	1825.495	1794.78
26	26	18.651	-1	1768.395	1701.56
27	27	19.743	-1	1745.835	1127.66
28	28	21.216	-1	866.2615	1707.3
29	29	21.351	-1	1728.86	1690.935
30	30	22.134	-1	357.2445	1723.125
31	31	22.353	-1	1803.16	1697.145
32	32	22.701	-1	449.223	1786.495
33	33	22.968	-1	1624.38	162.964
34	34	24.819	-1	1733.895	1139.77
35	35	25.077	-1	337.458	1733.68
36	36	25.188	-1	17.88265	1727.06
37	37	25.251	-1	1804.72	1788.725
38	38	26.784	-1	1823.7	1519.395
39	39	26.958	-1	426.2	1808.71
40	40	28.953	-1	1212.695	1633.605
41	41	29.301	-1	1806.855	1508.035
42	42	30.198	-1	1689.98	48.2429
43	43	32.235	-1	1841.185	724.874
44	44	33.081	-1	1824.915	1755.83
45	45	33.696	-1	1785.79	1482.67
46	46	35.52	-1	1631.96	969.717
47	47	36.012	-1	1845.48	1757.62
48	48	36.63	-1	1792.22	1475.005
49	49	37.695	-1	1831.705	714.0345
50	50	39.057	-1	1789.965	1463.8
51	51	39.384	-1	1851.315	1762.735
52	52	39.465	-1	1827.005	1530.605
