Swap #	Nswaps (direction corrected)	Timestep	Time	dTime	TimeRatio	Swap direction	X size	Y size	Surface area	-dS	-dS/S0	OLD Subavalanche #	OLD Subavalanche start	Subavalanche #	Subavalanche start	Subavalanche end	Swap bond c.x	Swap bond c.y	Swap bond c.z	Distance to previous swap	Distance to prev assoc swap	Atom1	Atom2
1	1	101061	3.183	0.000	1.00000000	-1	1863.670	1859.620	3465718.00540	-0.00000	-0.00000000	1	1	1	1		1084.51000	1849.00000	0.00000	0.00000	0.00000	35267	35409
2	2	101395	4.185	1.002	1.31479736	-1	1863.450	1859.390	3464880.29550	837.70990	0.00024171	1		4	4		532.18500	1838.29000	0.00000	552.42883	552.42883	23288	26383
3	3	101502	4.506	0.321	1.07670251	-1	1863.380	1859.330	3464638.33540	1079.67000	0.00031153	1		4			666.58000	1821.49000	0.00000	135.44097	135.44097	25679	27486
4	4	101758	5.274	0.768	1.17043941	-1	1863.230	1859.170	3464061.31910	1656.68630	0.00047802	1		4			229.02750	1849.87000	0.00000	438.47191	303.37859	25735	26533
5	5	101839	5.517	0.243	1.04607509	-1	1863.180	1859.120	3463875.20160	1842.80380	0.00053172	1		4			9.03383	1850.06500	0.00000	219.99376	219.99376	20731	22521
6	6	101907	5.721	0.204	1.03697662	-1	1863.140	1859.080	3463726.31120	1991.69420	0.00057468	1		8	8		1821.73000	1812.28500	0.00000	1813.08984	1813.08984	34908	37461
7	7	102304	6.912	1.191	1.20818039	-1	1862.920	1858.870	3462926.10040	2791.90500	0.00080558	1		1			1434.78500	1801.09500	0.00000	387.10677	353.53566	32245	38853
8	8	102382	7.146	0.234	1.03385417	-1	1862.880	1858.830	3462777.23040	2940.77500	0.00084853	1		4			308.64900	1841.14000	0.00000	1126.84777	80.09867	24387	27071
9	9	102399	7.197	0.051	1.00713686	-1	1862.870	1858.820	3462740.01340	2977.99200	0.00085927	1		4			209.94600	1795.61000	0.00000	108.69804	57.51740	25388	26708
10	10	102594	7.782	0.585	1.08128387	-1	1862.770	1858.720	3462367.85440	3350.15100	0.00096665	1		8			1795.24000	1571.21500	0.00000	1601.09656	242.52106	31544	33661
11	11	102639	7.917	0.135	1.01734773	-1	1862.750	1858.690	3462274.79750	3443.20790	0.00099350	1		1			1242.35000	1814.37000	0.00000	603.99645	161.59425	32126	34535
12	12	102668	8.004	0.087	1.01098901	-1	1862.730	1858.680	3462218.99640	3499.00900	0.00100961	1		8			1821.85000	1597.20000	0.00000	618.85625	37.19291	30298	36226
13	13	102793	8.379	0.375	1.04685157	-1	1862.670	1858.620	3461995.71540	3722.29000	0.00107403	1		8			1817.64000	1418.33000	0.00000	178.91954	154.51726	36655	37628
14	14	102876	8.628	0.249	1.02971715	-1	1862.630	1858.580	3461846.86540	3871.14000	0.00111698	1		8			1632.73500	1825.46000	0.00000	447.15176	189.45366	31629	38166
15	15	103267	9.801	1.173	1.13595271	-1	1862.450	1858.410	3461195.70450	4522.30090	0.00130487	1		8			1844.04000	1207.10000	0.00000	653.46683	212.87337	35970	36669
16	16	103289	9.867	0.066	1.00673401	-1	1862.440	1858.400	3461158.49600	4559.50940	0.00131560	1		2	2		1797.78500	506.42200	0.00000	702.20309	702.20309	11164	18547
17	17	104748	14.244	4.377	1.44359988	-1	1861.890	1857.860	3459130.95540	6587.05000	0.00190063	1		8			1778.61500	1698.90000	0.00000	1192.63208	110.50862	37522	39553
18	18	105122	15.366	1.122	1.07877001	-1	1861.760	1857.750	3458684.64000	7033.36540	0.00202941	1		8			1824.80500	1696.52000	0.00000	46.25128	46.25128	34610	39067
